user_id,n_dow_0,n_dow_1,n_dow_2,n_dow_3,n_dow_4,n_dow_5,n_dow_6,n_hod_0,n_hod_1,n_hod_2,n_hod_3,n_hod_4,n_hod_5,n_hod_6,n_hod_7,n_hod_8,n_hod_9,n_hod_10,n_hod_11,n_hod_12,n_hod_13,n_hod_14,n_hod_15,n_hod_16,n_hod_17,n_hod_18,n_hod_19,n_hod_20,n_hod_21,n_hod_22,n_hod_23,order_size_mean,order_size_std,order_size_amax,order_size_amin,small,medium,large,xl,days_since_prior_order,reordered,organic,popular,prepared,dairy,gluten,snack,meat,fish,beverage,veg,label
11727,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,0.7071067811865476,7.0,6.0,0.0,2.0,0.0,0.0,25.227272727272727,0.48484848484848486,0.7878787878787878,0.3333333333333333,0.48484848484848486,0.0,0.09090909090909091,0.030303030303030304,0.0,0.0,0.0,0.7878787878787878,1.0
7583,0.0,1.0,4.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,9.75,4.454313537562111,16.0,1.0,3.0,2.0,7.0,0.0,22.634146341463413,0.4846153846153846,0.5846153846153846,0.06923076923076923,0.1,0.007692307692307693,0.14615384615384616,0.07692307692307693,0.0,0.0,0.007692307692307693,0.5615384615384615,1.0
26225,3.0,6.0,1.0,3.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0,1.0,3.0,1.0,5.0,1.0,0.0,0.0,12.294117647058824,6.516946235415336,25.0,3.0,3.0,4.0,7.0,3.0,15.078838174273859,0.47368421052631576,0.14979757085020243,0.07692307692307693,0.3117408906882591,0.10121457489878542,0.13360323886639677,0.1902834008097166,0.03643724696356275,0.0,0.05263157894736842,0.2591093117408907,5.0
79750,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.166666666666667,2.316606713852541,11.0,4.0,1.0,4.0,1.0,0.0,21.2,0.3392857142857143,0.017857142857142856,0.08928571428571429,0.19642857142857142,0.23214285714285715,0.10714285714285714,0.08928571428571429,0.05357142857142857,0.017857142857142856,0.05357142857142857,0.17857142857142858,3.0
167161,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,1.0,1.0,14.9,6.402256546631733,27.0,7.0,0.0,3.0,5.0,2.0,17.00602409638554,0.43529411764705883,0.28823529411764703,0.16470588235294117,0.2529411764705882,0.17647058823529413,0.052941176470588235,0.047058823529411764,0.0,0.0058823529411764705,0.029411764705882353,0.4647058823529412,3.0
106570,12.0,4.0,5.0,0.0,8.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,1.0,4.0,5.0,5.0,3.0,4.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,16.571428571428573,5.298644189988684,28.0,4.0,2.0,3.0,23.0,7.0,10.468120805369127,0.7323481116584565,0.3497536945812808,0.13136288998357964,0.2742200328407225,0.1592775041050903,0.12151067323481117,0.1330049261083744,0.054187192118226604,0.0016420361247947454,0.013136288998357963,0.31527093596059114,6.0
179035,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,3.605551275463989,9.0,2.0,1.0,2.0,0.0,0.0,26.36,0.39285714285714285,0.07142857142857142,0.14285714285714285,0.0,0.0,0.14285714285714285,0.17857142857142858,0.0,0.0,0.6071428571428571,0.10714285714285714,1.0
179902,4.0,2.0,2.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,1.0,2.0,4.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,5.2,3.8766701469910263,12.0,1.0,9.0,3.0,3.0,0.0,12.129411764705882,0.391304347826087,0.3804347826086957,0.09782608695652174,0.18478260869565216,0.21739130434782608,0.2608695652173913,0.2608695652173913,0.06521739130434782,0.0,0.021739130434782608,0.18478260869565216,1.0
100206,0.0,3.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,21.571428571428573,10.596495377515827,30.0,3.0,1.0,0.0,1.0,5.0,14.994047619047619,0.6532663316582915,0.36683417085427134,0.08040201005025126,0.10050251256281408,0.05527638190954774,0.035175879396984924,0.01507537688442211,0.05025125628140704,0.0,0.03015075376884422,0.36180904522613067,6.0
177610,6.0,4.0,8.0,8.0,6.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,5.0,1.0,3.0,5.0,2.0,5.0,3.0,3.0,1.0,1.0,3.0,1.0,3.0,3.0,16.09090909090909,7.229841845284199,32.0,4.0,1.0,7.0,25.0,11.0,8.560332871012482,0.6908850726552179,0.48877146631439894,0.052840158520475564,0.14398943196829592,0.02509907529722589,0.10435931307793923,0.0726552179656539,0.026420079260237782,0.0,0.08058124174372523,0.40158520475561427,6.0
