user_id,n_dow_0,n_dow_1,n_dow_2,n_dow_3,n_dow_4,n_dow_5,n_dow_6,n_hod_0,n_hod_1,n_hod_2,n_hod_3,n_hod_4,n_hod_5,n_hod_6,n_hod_7,n_hod_8,n_hod_9,n_hod_10,n_hod_11,n_hod_12,n_hod_13,n_hod_14,n_hod_15,n_hod_16,n_hod_17,n_hod_18,n_hod_19,n_hod_20,n_hod_21,n_hod_22,n_hod_23,order_size_mean,order_size_std,order_size_amax,order_size_amin,small,medium,large,xl,days_since_prior_order,reordered,organic,popular,prepared,dairy,gluten,snack,meat,fish,beverage,veg,label
176536,2.0,2.0,4.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,2.4285714285714284,1.5548576840284827,5.0,1.0,14.0,0.0,0.0,0.0,16.75,0.5135135135135135,0.08108108108108109,0.08108108108108109,0.21621621621621623,0.1891891891891892,0.05405405405405406,0.1891891891891892,0.02702702702702703,0.0,0.2702702702702703,0.21621621621621623,1.0
30544,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.5,6.363961030678928,28.0,19.0,0.0,0.0,1.0,1.0,26.5,0.16666666666666666,0.41025641025641024,0.14102564102564102,0.23076923076923078,0.24358974358974358,0.038461538461538464,0.01282051282051282,0.038461538461538464,0.01282051282051282,0.01282051282051282,0.48717948717948717,1.0
61237,3.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,9.777777777777779,4.024232155883213,18.0,5.0,1.0,5.0,3.0,0.0,17.7979797979798,0.34234234234234234,0.40540540540540543,0.18018018018018017,0.22522522522522523,0.04504504504504504,0.08108108108108109,0.04504504504504504,0.0990990990990991,0.009009009009009009,0.0,0.5225225225225225,6.0
65377,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,5.291502622129181,11.0,1.0,1.0,1.0,1.0,0.0,29.454545454545453,0.23529411764705882,0.6764705882352942,0.058823529411764705,0.29411764705882354,0.029411764705882353,0.08823529411764706,0.14705882352941177,0.0,0.029411764705882353,0.029411764705882353,0.3235294117647059,3.0
89785,8.0,6.0,4.0,5.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,5.0,0.0,3.0,1.0,8.0,1.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,5.387096774193548,3.9300332429029887,17.0,1.0,20.0,8.0,3.0,0.0,4.523255813953488,0.367816091954023,0.42528735632183906,0.14942528735632185,0.13218390804597702,0.1839080459770115,0.08620689655172414,0.06321839080459771,0.022988505747126436,0.017241379310344827,0.028735632183908046,0.4367816091954023,1.0
192543,2.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.571428571428571,4.3149794459588815,17.0,5.0,2.0,3.0,2.0,0.0,8.788732394366198,0.5324675324675324,0.5584415584415584,0.18181818181818182,0.3246753246753247,0.12987012987012986,0.09090909090909091,0.012987012987012988,0.0,0.0,0.06493506493506493,0.4025974025974026,1.0
128653,16.0,5.0,1.0,1.0,2.0,4.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,5.0,5.0,4.0,3.0,0.0,1.0,3.0,4.0,3.0,1.0,3.0,1.0,1.0,0.0,1.0,0.0,14.261904761904763,4.072869928456238,24.0,6.0,0.0,10.0,28.0,4.0,8.248780487804877,0.8523274478330658,0.4799357945425361,0.2102728731942215,0.2857142857142857,0.02247191011235955,0.02086677367576244,0.016051364365971106,0.15409309791332262,0.0032102728731942215,0.0016051364365971107,0.5746388443017657,6.0
160228,14.0,6.0,8.0,10.0,7.0,9.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,4.0,8.0,7.0,6.0,7.0,1.0,3.0,3.0,2.0,3.0,4.0,1.0,4.0,0.0,11.967213114754099,6.685724127110325,30.0,1.0,9.0,21.0,24.0,7.0,6.65945945945946,0.6609271523178808,0.4370860927152318,0.13112582781456952,0.2251655629139073,0.06622516556291391,0.1576158940397351,0.11920529801324503,0.07947019867549669,0.0026490066225165563,0.052980132450331126,0.37880794701986753,1.0
193643,0.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,6.48074069840786,16.0,2.0,3.0,0.0,2.0,0.0,11.054545454545455,0.11475409836065574,0.11475409836065574,0.06557377049180328,0.09836065573770492,0.14754098360655737,0.06557377049180328,0.04918032786885246,0.0,0.0,0.13114754098360656,0.19672131147540983,6.0
5750,12.0,1.0,3.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,1.0,2.0,2.0,3.0,1.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.380952380952381,2.499523764163695,12.0,2.0,5.0,15.0,1.0,0.0,6.708860759493671,0.7023809523809523,0.02976190476190476,0.0,0.25595238095238093,0.34523809523809523,0.11904761904761904,0.125,0.005952380952380952,0.0,0.19047619047619047,0.16666666666666666,1.0
188354,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,17.0,4.847679857416329,24.0,12.0,0.0,0.0,4.0,1.0,7.526881720430108,0.42201834862385323,0.5688073394495413,0.1743119266055046,0.1559633027522936,0.01834862385321101,0.14678899082568808,0.05504587155963303,0.0,0.0,0.03669724770642202,0.4954128440366973,1.0
96124,0.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.3452078799117144,9.0,3.0,4.0,1.0,0.0,0.0,24.333333333333332,0.2857142857142857,0.03571428571428571,0.0,0.10714285714285714,0.0,0.7142857142857143,0.8214285714285714,0.0,0.0,0.07142857142857142,0.10714285714285714,4.0
203262,1.0,1.0,2.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.333333333333334,4.092676385936225,17.0,4.0,1.0,1.0,7.0,0.0,9.459016393442623,0.4330708661417323,0.28346456692913385,0.1889763779527559,0.1968503937007874,0.12598425196850394,0.2677165354330709,0.2992125984251969,0.14173228346456693,0.0,0.07086614173228346,0.14960629921259844,4.0
201872,1.0,1.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.583333333333333,3.2601821849074444,11.0,2.0,9.0,1.0,2.0,0.0,23.433333333333334,0.5396825396825397,0.19047619047619047,0.14285714285714285,0.30158730158730157,0.07936507936507936,0.015873015873015872,0.1111111111111111,0.0,0.0,0.14285714285714285,0.5873015873015873,1.0
65050,5.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.142857142857142,4.0178174601214955,18.0,5.0,1.0,3.0,3.0,0.0,19.539473684210527,0.2,0.0,0.011764705882352941,0.25882352941176473,0.16470588235294117,0.058823529411764705,0.2823529411764706,0.10588235294117647,0.0,0.07058823529411765,0.16470588235294117,1.0
112338,0.0,1.0,1.0,4.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,6.0,1.0,1.0,0.0,0.0,1.0,0.0,9.714285714285714,2.367360472001593,15.0,6.0,0.0,11.0,3.0,0.0,16.096153846153847,0.6111111111111112,0.15432098765432098,0.09876543209876543,0.09259259259259259,0.3395061728395062,0.3333333333333333,0.10493827160493827,0.0,0.0,0.012345679012345678,0.16666666666666666,1.0
54688,4.0,2.0,4.0,1.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,2.0,3.0,1.0,0.0,2.0,1.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,16.047619047619047,9.238377511642348,38.0,4.0,2.0,5.0,8.0,6.0,8.244186046511627,0.4164305949008499,0.1388101983002833,0.042492917847025496,0.24362606232294617,0.12181303116147309,0.12181303116147309,0.18696883852691218,0.0764872521246459,0.014164305949008499,0.04815864022662889,0.28328611898017,1.0
137022,2.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,2.0,0.0,1.0,0.0,7.111111111111111,3.2188679859713276,11.0,1.0,2.0,5.0,2.0,0.0,13.095890410958905,0.4125,0.475,0.1125,0.1125,0.175,0.0875,0.025,0.0125,0.0,0.0625,0.575,1.0
109430,2.0,1.0,2.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,5.666666666666667,1.5,7.0,3.0,4.0,5.0,0.0,0.0,12.206896551724139,0.36065573770491804,0.0,0.09836065573770492,0.3114754098360656,0.13114754098360656,0.08196721311475409,0.08196721311475409,0.14754098360655737,0.0,0.18032786885245902,0.06557377049180328,5.0
52133,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.242640687119285,11.0,5.0,1.0,0.0,1.0,0.0,21.869565217391305,0.13793103448275862,0.0,0.13793103448275862,0.06896551724137931,0.13793103448275862,0.2413793103448276,0.06896551724137931,0.06896551724137931,0.0,0.034482758620689655,0.3103448275862069,1.0
115130,1.0,0.0,4.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.75,4.166190448976482,18.0,6.0,0.0,3.0,5.0,0.0,21.623853211009173,0.25217391304347825,0.10434782608695652,0.05217391304347826,0.30434782608695654,0.1565217391304348,0.10434782608695652,0.14782608695652175,0.06086956521739131,0.02608695652173913,0.09565217391304348,0.22608695652173913,3.0
3481,13.0,1.0,0.0,4.0,0.0,3.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,1.0,3.0,1.0,6.0,1.0,3.0,4.0,1.0,2.0,1.0,0.0,0.0,5.066666666666666,1.9286109586656035,11.0,2.0,21.0,8.0,1.0,0.0,12.363057324840764,0.7654320987654321,0.6481481481481481,0.012345679012345678,0.30246913580246915,0.07407407407407407,0.06790123456790123,0.2037037037037037,0.0,0.0,0.0,0.30246913580246915,1.0
178241,11.0,9.0,10.0,10.0,6.0,11.0,10.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,3.0,4.0,2.0,10.0,11.0,5.0,9.0,4.0,5.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,20.970149253731343,10.249863486531774,53.0,1.0,2.0,5.0,28.0,32.0,5.194113524877365,0.6664355062413315,0.33980582524271846,0.15672676837725383,0.19972260748959778,0.1407766990291262,0.13592233009708737,0.1463245492371706,0.019417475728155338,0.0006934812760055479,0.03398058252427184,0.39042995839112343,6.0
85173,1.0,0.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,6.125,3.226563851175781,11.0,2.0,3.0,4.0,1.0,0.0,20.68235294117647,0.3434343434343434,0.31313131313131315,0.18181818181818182,0.1414141414141414,0.1111111111111111,0.0707070707070707,0.24242424242424243,0.020202020202020204,0.0,0.0707070707070707,0.37373737373737376,5.0
177990,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,7.0710678118654755,19.0,9.0,0.0,1.0,1.0,0.0,18.48780487804878,0.2857142857142857,0.2653061224489796,0.1836734693877551,0.061224489795918366,0.08163265306122448,0.1836734693877551,0.12244897959183673,0.061224489795918366,0.0,0.02040816326530612,0.42857142857142855,6.0
164886,3.0,4.0,2.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,14.6,5.500649312321488,25.0,8.0,0.0,4.0,8.0,3.0,14.831896551724139,0.47244094488188976,0.4645669291338583,0.08267716535433071,0.14173228346456693,0.11023622047244094,0.19291338582677164,0.2047244094488189,0.01968503937007874,0.0,0.03543307086614173,0.3228346456692913,1.0
98617,3.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,24.125,5.693040864574423,33.0,18.0,0.0,0.0,3.0,5.0,8.625570776255708,0.575107296137339,0.47639484978540775,0.1630901287553648,0.15879828326180256,0.2017167381974249,0.10300429184549356,0.07725321888412018,0.06866952789699571,0.0,0.0,0.36909871244635195,6.0
94666,1.0,1.0,1.0,0.0,1.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,8.222222222222221,3.7006005518624194,13.0,3.0,2.0,4.0,3.0,0.0,16.790697674418606,0.5604395604395604,0.5494505494505495,0.2967032967032967,0.2967032967032967,0.13186813186813187,0.04395604395604396,0.02197802197802198,0.02197802197802198,0.054945054945054944,0.054945054945054944,0.4725274725274725,1.0
39837,8.0,8.0,1.0,0.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,5.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,1.0,0.0,15.15625,5.19372683023441,28.0,6.0,0.0,6.0,22.0,4.0,5.988118811881188,0.7217898832684825,0.1614785992217899,0.10116731517509728,0.14785992217898833,0.07587548638132295,0.188715953307393,0.09727626459143969,0.04085603112840467,0.0038910505836575876,0.10311284046692606,0.27431906614785995,1.0
191961,5.0,4.0,2.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,1.0,13.222222222222221,6.245521271095986,24.0,2.0,2.0,4.0,9.0,3.0,13.470355731225297,0.4612546125461255,0.5608856088560885,0.2029520295202952,0.2730627306273063,0.22509225092250923,0.03690036900369004,0.12177121771217712,0.04428044280442804,0.0036900369003690036,0.05166051660516605,0.3062730627306273,5.0
203301,7.0,13.0,7.0,9.0,4.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,6.0,3.0,2.0,3.0,5.0,5.0,7.0,4.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,8.773584905660377,5.157673556623264,24.0,3.0,16.0,22.0,14.0,1.0,6.875,0.7962962962962963,0.551440329218107,0.2448559670781893,0.2551440329218107,0.14609053497942387,0.1646090534979424,0.19958847736625515,0.024691358024691357,0.0,0.00823045267489712,0.37037037037037035,6.0
168046,9.0,8.0,10.0,3.0,9.0,5.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,3.0,3.0,5.0,3.0,6.0,7.0,7.0,7.0,3.0,0.0,0.0,0.0,1.0,6.846153846153846,3.9076828066059486,17.0,1.0,22.0,20.0,10.0,0.0,7.153846153846154,0.7229551451187335,0.21899736147757257,0.17150395778364116,0.10290237467018469,0.316622691292876,0.13720316622691292,0.10554089709762533,0.0,0.0,0.11345646437994723,0.15303430079155672,6.0
17316,2.0,1.0,12.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,5.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.947368421052632,3.27403394081583,16.0,5.0,1.0,8.0,10.0,0.0,13.69683257918552,0.6504424778761062,0.5353982300884956,0.22566371681415928,0.15486725663716813,0.08849557522123894,0.07964601769911504,0.07964601769911504,0.11504424778761062,0.004424778761061947,0.0,0.5353982300884956,6.0
23221,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,0.8944271909999159,5.0,3.0,5.0,0.0,0.0,0.0,17.61904761904762,0.6363636363636364,0.0,0.3181818181818182,0.0,0.045454545454545456,0.13636363636363635,0.13636363636363635,0.0,0.0,0.6363636363636364,0.0,1.0
40798,1.0,1.0,5.0,4.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,3.0,2.0,4.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,13.631578947368421,4.9126879530432825,22.0,5.0,1.0,6.0,10.0,2.0,4.936567164179104,0.608540925266904,0.11743772241992882,0.06761565836298933,0.3416370106761566,0.15302491103202848,0.10676156583629894,0.10676156583629894,0.03558718861209965,0.0,0.0498220640569395,0.3274021352313167,1.0
88886,2.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,5.142857142857143,4.59813626840888,12.0,1.0,5.0,0.0,2.0,0.0,12.576923076923077,0.2777777777777778,0.2777777777777778,0.14814814814814814,0.16666666666666666,0.1111111111111111,0.12962962962962962,0.4074074074074074,0.05555555555555555,0.018518518518518517,0.0,0.2222222222222222,3.0
23679,3.0,1.0,3.0,5.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,3.0,2.0,2.0,3.0,1.0,1.0,0.0,2.0,0.0,0.0,9.476190476190476,2.4211370803621928,14.0,5.0,1.0,12.0,8.0,0.0,4.717703349282297,0.672566371681416,0.38495575221238937,0.18141592920353983,0.18141592920353983,0.035398230088495575,0.12831858407079647,0.07964601769911504,0.004424778761061947,0.022123893805309734,0.004424778761061947,0.6592920353982301,3.0
64323,3.0,2.0,1.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14.909090909090908,4.504543161177289,21.0,9.0,0.0,2.0,7.0,2.0,17.69060773480663,0.41706161137440756,0.04265402843601896,0.02843601895734597,0.3981042654028436,0.12796208530805686,0.08530805687203792,0.03317535545023697,0.05687203791469194,0.004739336492890996,0.05687203791469194,0.22274881516587677,3.0
159149,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,0.7071067811865476,8.0,6.0,0.0,5.0,0.0,0.0,20.153846153846153,0.125,0.16071428571428573,0.10714285714285714,0.2857142857142857,0.2857142857142857,0.19642857142857142,0.05357142857142857,0.05357142857142857,0.0,0.05357142857142857,0.23214285714285715,1.0
202148,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.5,9.9498743710662,31.0,7.0,0.0,1.0,2.0,1.0,21.542056074766354,0.36507936507936506,0.2698412698412698,0.15079365079365079,0.2777777777777778,0.1111111111111111,0.031746031746031744,0.047619047619047616,0.03968253968253968,0.0,0.06349206349206349,0.2857142857142857,5.0
